User , TS_TIME_ZONE , $(string.TS_TIME_ZONE)
User , TS_CLIENT_CLIPBOARD , $(string.TS_CLIENT_CLIPBOARD)
User , TS_DISABLE_REMOTE_DESKTOP_WALLPAPER , $(string.TS_DISABLE_REMOTE_DESKTOP_WALLPAPER)
User , TS_TURNOFF_SINGLEAPP , $(string.TS_TURNOFF_SINGLEAPP)
Machine , TS_ALLOW_APPS , $(string.TS_ALLOW_APPS)
Machine , TS_ALLOW_DESKTOPCOMPOSITION , $(string.TS_ALLOW_DESKTOPCOMPOSITION)
Machine , TS_SB_LOAD_BALANCING , $(string.TS_SB_LOAD_BALANCING)
Machine , TS_REDIRECT_CLIENT_PRN_ONLY , $(string.TS_REDIRECT_CLIENT_PRN_ONLY)
User , TS_REDIRECT_CLIENT_PRN_ONLY_User , $(string.TS_REDIRECT_CLIENT_PRN_ONLY)
User , TS_SESSIONS_RemoteApp_End_Timeout , $(string.TS_SESSIONS_RemoteApp_End_Timeout)
Machine , TS_SESSIONS_RemoteApp_End_Timeout_1 , $(string.TS_SESSIONS_RemoteApp_End_Timeout)
Machine , TS_DISALLOW_FONT_SMOOTHING , $(string.TS_DISALLOW_FONT_SMOOTHING)
Machine , TS_NET_ID_IP_VIRTUALIZATION , $(string.TS_NET_ID_IP_VIRTUALIZATION)
Machine , TS_NOT_USE_SERVER_IP_WITH_IP_VIRTUALIZATION , $(string.TS_NOT_USE_SERVER_IP_WITH_IP_VIRTUALIZATION)
Machine , TS_ENABLE_DFSS , $(string.TS_ENABLE_DFSS)
Machine , TS_DISABLE_MSI , $(string.TS_DISABLE_MSI)
Machine , TS_ENABLE_IP_VIRTUALIZATION , $(string.TS_ENABLE_IP_VIRTUALIZATION)
Machine , Pol_EncryptProtocol , $(string.Pol_EncryptProtocol)
Machine , WF_NetIsolation_Domain_Proxies , $(string.WF_NetIsolation_Domain_Proxies)
Machine , WF_NetIsolation_Intranet_Proxies , $(string.WF_NetIsolation_Intranet_Proxies)
Machine , WF_NetIsolation_PrivateSubnet , $(string.WF_NetIsolation_PrivateSubnet)
Machine , WF_NetIsolation_Authoritative_Proxies , $(string.WF_NetIsolation_Authoritative_Proxy)
Machine , WF_NetIsolation_Authoritative_Subnet , $(string.WF_NetIsolation_Authoritative_Subnet)
Machine , WF_NetIsolation_EnterpriseCloudResources , $(string.WF_NetIsolation_EnterpriseCloudResources)
Machine , WF_NetIsolation_NeutralResources , $(string.WF_NetIsolation_NeutralResources)
User , ConfigureWindowsSpotlight , $(string.ConfigureWindowsSpotlight)
User , DisableWindowsSpotlightFeatures , $(string.DisableWindowsSpotlightFeatures)
User , DisableTailoredExperiencesWithDiagnosticData , $(string.DisableTailoredExperiencesWithDiagnosticData)
Machine , DisableWindowsConsumerFeatures , $(string.DisableWindowsConsumerFeatures)
Machine , DisableSoftLanding , $(string.DisableSoftLanding)
User , DisableThirdPartySuggestions , $(string.DisableThirdPartySuggestions)
User , DisableWindowsSpotlightOnActionCenter , $(string.DisableWindowsSpotlightOnActionCenter)
User , DisableWindowsSpotlightOnSettings , $(string.DisableWindowsSpotlightOnSettings)
User , DisableWindowsSpotlightWindowsWelcomeExperience , $(string.DisableWindowsSpotlightWindowsWelcomeExperience)
Machine , DisableCloudOptimizedContent , $(string.DisableCloudOptimizedContent)
Machine , DLT_AllowDomainMode , $(string.DLT_AllowDomainMode)
Machine , Channel_Log_AutoBackup_1 , $(string.Channel_Log_AutoBackup)
Machine , Channel_Log_FileLogAccess_1 , $(string.Channel_Log_FileLogAccess)
Machine , Channel_Log_FileLogAccess_5 , $(string.Channel_Log_FileLogAccess_Legacy)
Machine , Channel_Log_Retention_1 , $(string.Channel_Log_Retention)
Machine , Channel_LogFilePath_1 , $(string.Channel_LogFilePath)
Machine , Channel_LogMaxSize_1 , $(string.Channel_LogMaxSize)
Machine , Channel_Log_AutoBackup_2 , $(string.Channel_Log_AutoBackup)
Machine , Channel_Log_FileLogAccess_2 , $(string.Channel_Log_FileLogAccess)
Machine , Channel_Log_FileLogAccess_6 , $(string.Channel_Log_FileLogAccess_Legacy)
Machine , Channel_Log_Retention_2 , $(string.Channel_Log_Retention)
Machine , Channel_LogFilePath_2 , $(string.Channel_LogFilePath)
Machine , Channel_LogMaxSize_2 , $(string.Channel_LogMaxSize)
Machine , Channel_Log_AutoBackup_3 , $(string.Channel_Log_AutoBackup)
Machine , Channel_Log_FileLogAccess_3 , $(string.Channel_Log_FileLogAccess)
Machine , Channel_Log_FileLogAccess_7 , $(string.Channel_Log_FileLogAccess_Legacy)
Machine , Channel_Log_Retention_3 , $(string.Channel_Log_Retention)
Machine , Channel_LogEnabled , $(string.Channel_LogEnabled)
Machine , Channel_LogFilePath_3 , $(string.Channel_LogFilePath)
Machine , Channel_LogMaxSize_3 , $(string.Channel_LogMaxSize)
Machine , Channel_Log_AutoBackup_4 , $(string.Channel_Log_AutoBackup)
Machine , Channel_Log_FileLogAccess_4 , $(string.Channel_Log_FileLogAccess)
Machine , Channel_Log_FileLogAccess_8 , $(string.Channel_Log_FileLogAccess_Legacy)
Machine , Channel_Log_Retention_4 , $(string.Channel_Log_Retention)
Machine , Channel_LogFilePath_4 , $(string.Channel_LogFilePath)
Machine , Channel_LogMaxSize_4 , $(string.Channel_LogMaxSize)
Machine , WdiScenarioExecutionPolicy , $(string.WdiScenarioExecutionPolicy)
Machine , MsdtToolDownloadPolicy , $(string.MsdtToolDownloadPolicy)
Machine , MsdtSupportProvider , $(string.MsdtSupportProvider)
Machine , TroubleshootingAllowRecommendations , $(string.TroubleshootingAllowRecommendations)
Machine , EnableAppV , $(string.EnableAppV)
Machine , Streaming_Package_Installation_Root , $(string.Streaming_Package_Installation_Root)
Machine , Steaming_Autoload , $(string.Steaming_Autoload)
Machine , Streaming_Package_Source_Root , $(string.Streaming_Package_Source_Root)
Machine , Streaming_Reestablishment_Retries , $(string.Streaming_Reestablishment_Retries)
Machine , Streaming_Reestablishment_Interval , $(string.Streaming_Reestablishment_Interval)
Machine , Streaming_Location_Provider , $(string.Streaming_Location_Provider)
Machine , Streaming_Certificate_Filter_For_Client_SSL , $(string.Streaming_Certificate_Filter_For_Client_SSL)
Machine , Streaming_Verify_Certificate_Revocation_List , $(string.Streaming_Verify_Certificate_Revocation_List)
Machine , Streaming_Shared_Content_Store_Mode , $(string.Streaming_Shared_Content_Store_Mode)
Machine , Streaming_Allow_High_Cost_Launch , $(string.Streaming_Allow_High_Cost_Launch)
Machine , Streaming_Require_Publish_As_Admin , $(string.Streaming_Require_Publish_As_Admin)
Machine , Streaming_Support_Branch_Cache , $(string.Streaming_Support_Branch_Cache)
Machine , Reporting_Server_Policy , $(string.ReportingServer)
Machine , Publishing_Server1_Policy , $(string.PublishingServer1)
Machine , Publishing_Server2_Policy , $(string.PublishingServer2)
Machine , Publishing_Server3_Policy , $(string.PublishingServer3)
Machine , Publishing_Server4_Policy , $(string.PublishingServer4)
Machine , Publishing_Server5_Policy , $(string.PublishingServer5)
Machine , Enable_Publishing_Refresh_UX , $(string.Publishing_Enable_Refresh_UX)
Machine , Client_Coexistence_Enable_Migration_mode , $(string.Client_Coexistence_Enable_Migration_mode)
Machine , Scripting_Enable_Package_Scripts , $(string.Scripting_Enable_Package_Scripts)
Machine , Integration_Roaming_File_Exclusions , $(string.Integration_Roaming_File_Exclusions)
Machine , Integration_Roaming_Registry_Exclusions , $(string.Integration_Roaming_Registry_Exclusions)
Machine , Integration_Root_User , $(string.Integration_Root_User)
Machine , Integration_Root_Global , $(string.Integration_Root_Global)
Machine , CEIP_Enable , $(string.CEIP_Enable)
Machine , Virtualization_JITVAllowList , $(string.Virtualization_JITVAllowList)
Machine , Virtualization_JITVEnable , $(string.Virtualization_JITVEnable)
Machine , PackageManagement_AutoCleanupEnable , $(string.PackageManagement_AutoCleanupEnable)
Machine , PowerManagement_SyncOnBatteriesEnable , $(string.PowerManagement_SyncOnBatteriesEnable)
User , CPL_Display_Disable , $(string.CPL_Display_Disable)
User , CPL_Display_HideSettings , $(string.CPL_Display_HideSettings)
User , CPL_Personalization_NoColorAppearanceUI , $(string.CPL_Personalization_NoColorAppearanceUI)
User , CPL_Personalization_NoScreenSaverUI , $(string.CPL_Personalization_NoScreenSaverUI)
User , CPL_Personalization_EnableScreenSaver , $(string.CPL_Personalization_EnableScreenSaver)
User , CPL_Personalization_SetScreenSaver , $(string.CPL_Personalization_SetScreenSaver)
User , CPL_Personalization_ScreenSaverIsSecure , $(string.CPL_Personalization_ScreenSaverIsSecure)
User , CPL_Personalization_ScreenSaverTimeOut , $(string.CPL_Personalization_ScreenSaverTimeOut)
User , CPL_Personalization_NoDesktopBackgroundUI , $(string.CPL_Personalization_NoDesktopBackgroundUI)
User , CPL_Personalization_NoSoundSchemeUI , $(string.CPL_Personalization_NoSoundSchemeUI)
User , CPL_Personalization_NoMousePointersUI , $(string.CPL_Personalization_NoMousePointersUI)
User , CPL_Personalization_NoDesktopIconsUI , $(string.CPL_Personalization_NoDesktopIconsUI)
User , CPL_Personalization_DisableColorSchemeChoice , $(string.CPL_Personalization_DisableColorSchemeChoice)
User , CPL_Personalization_DisableThemeChange , $(string.CPL_Personalization_DisableThemeChange)
User , CPL_Personalization_SetTheme , $(string.CPL_Personalization_SetTheme)
User , CPL_Personalization_DisableVisualStyle , $(string.CPL_Personalization_DisableVisualStyle)
User , CPL_Personalization_SetVisualStyle , $(string.CPL_Personalization_SetVisualStyle)
User , CPL_Personalization_LockFontSize , $(string.CPL_Personalization_LockFontSize)
Machine , CPL_Personalization_NoLockScreen , $(string.CPL_Personalization_NoLockScreen)
Machine , CPL_Personalization_NoChangingLockScreen , $(string.CPL_Personalization_NoChangingLockScreen)
Machine , CPL_Personalization_NoLockScreenSlideshow , $(string.CPL_Personalization_NoLockScreenSlideshow)
